	word	split
0	#globalgoals	global goals
1	#withrefugees	with refugees
2	#weareindigenous	we are indigenous
3	#girlsinict	
4	#edd18	ed d 18
5	#africanwomenleaders	
6	#planet5050	planet 5050
7	#genderequality	gender equality
8	#timeisnow	time is now
9	#unscr1325	
10	#heforshe	he for she
11	#worldrefugeeday	world refugee day
12	#syriaconf2017	
13	#metoo	me too
14	#dayoffamilies	day of families
15	#equalpayday	equal payday
16	#endrapeinwar	end rape in war
17	#womeninsport	women in sport
18	#g7	g 7
19	#timesup	times up
20	#mondaymotivation	
21	#women	
22	#crpd	
23	#spotlightendviolence	spotlight end violence
24	#equalpay	equal pay
25	#cosp10	
26	#mothersday	mothers day
27	#unpfii16	
28	#cosp11	
29	#pk70	pk 70
30	#mexicogp2017	
31	#widowsday	widows day
32	#parentsday	parents day
33	#unwomentc	
34	#stoptherobbery	stop the robbery
35	#ruralwomen	rural women
36	#idsdp2018	
37	#idahot	
38	#migrantwomen	migrant women
39	#worldenvironmentday	world environment day
40	#csw62	
41	#webbys	
42	#womenrefugees	women refugees
43	#unstereotype	
44	#earthday	earth day
45	#sdgs	
46	#canneslions	
47	#standup4humanrights	stand up 4 human rights
48	#promisestoaction	promises to action
49	#weinclude	we include
50	#peace72	peace 72
51	#worldpressfreedomday	world press freedom day
52	#peacebuilding	peace building
53	#fathersday	fathers day
54	#climatechange	climate change
55	#pressfreedom	press freedom
56	#womeninscience	women in science
57	#womenofsyria	
58	#womeninpolitics	women in politics
59	#worldoceansday	world oceans day
60	#safeday	safe day
61	#whatwomenwant	what women want
62	#weplaytogether	we play together
63	#dyk	
64	#syriaconf2018	
65	#investinginpeace	investing in peace
66	#sustainingpeace	sustaining peace
67	#intgenderchampions	in t gender champions
68	#sheiswe	she is we
69	#nochildlabour	
70	#unfpii16	
71	#worldcup	
72	#pridemonth	pride month
73	#africaday	
74	#fromwhereistand	from where is t and
75	#fridayfeeling	
76	#sdgsandher	
77	#pkday	pk day
78	#pride	
79	#worldhealthday	world health day
80	#ittakesawoman	it takes a woman
81	#saveourocean	save our ocean
82	#idsdp2017	
83	#unstereotypealliance	
84	#wednesdaywisdom	
85	#genderbudgeting	gender budgeting
86	#idahotb	
87	#mayday	
88	#smday	
89	#stockholmgenderforum	
90	#tas2017	t as 2017
91	#disabilities	
92	#womenatwork	women at work
93	#endvaw	end v aw
94	#futureofsyria	
95	#endfgm	
96	#syrianwomen	
97	#familyplanning	family planning
98	#migration	
99	#jazzday	jazz day
100	#futureofmanhood	future of manhood
101	#worldbookday	world book day
102	#syria	
103	#withnature	with nature
104	#ewecisme	ewe c is me
105	#skollwf	
106	#everest	
107	#labourday	
108	#midwives	
109	#bethere	be there
110	#digitalgendergap	digital gender gap
111	#humanrights	human rights
112	#tuesdaythoughts	
113	#unsc	
114	#unpfii17	
115	#letstalk	lets talk
116	#endfistula	
117	#pride2017	pride 2017
118	#genderterm	gender term
119	#idm2017	id m 2017
120	#springmeetings	spring meetings
121	#htdgtour	
122	#culturaldiversity	cultural diversity
123	#humanitarianaction	humanitarian action
124	#w7startingfromgirls	w 7 starting from girls
125	#loveislove	love is love
126	#lgbti	
127	#thursdaythoughts	
128	#tbt	
129	#weempower	we empower
130	#g7charlevoix	
131	#justiceforwomen	justice for women
132	#herstoryourstory	her story our story
133	#equalsintech	equals in tech
134	#wtisd	wt is d
135	#youth4peace	youth 4 peace
136	#lgbt	
137	#dayofthemidwife	day of the midwife
138	#shedds	
139	#pakistan	
140	#decentjobsforyouth	decent jobs for youth
141	#pacific	
142	#sdg5	
143	#royalwedding	royal wedding
144	#kanchhimaya	
145	#endchildmarriage	end child marriage
146	#jahaspromise	j a has promise
147	#saveouroceans	save our oceans
148	#justicefornoura	justice for n our a
149	#imfgender	
150	#mteverest	
151	#empowerwomen	empower women
152	#witw	wit w
153	#gender	
154	#wps	
155	#weeforum2017	wee forum 2017
156	#peace	
157	#endviolence	end violence
158	#fundunfpa	
159	#healthforall	health for all
160	#climatesmart	climate smart
161	#ffdforum	
162	#worlddrugday	world drug day
163	#fin4dev	
164	#deliverforgood	deliver for good
165	#familyremittances	family remittances
166	#worldbeeday	world bee day
167	#fiji	
168	#depression	
169	#eu	
170	#genderequalworld	gender equal world
171	#idm2018	id m 2018
172	#goodmorning	good morning
173	#tcspringpanel	
174	#womenintech	women in tech
175	#stem	
176	#womensrights	
177	#achildisachild	a child is a child
178	#childmarriage	child marriage
179	#mhday2017	
180	#drr	
181	#sexualviolence	sexual violence
182	#crsv	
183	#worldparliamentday	world parliament day
184	#womeninsports	women in sports
185	#chibokgirls	
186	#notobacco	no tobacco
187	#didyouknow	did you know
188	#gbv	
189	#zerohunger	zero hunger
190	#refugees	
191	#infinitywar	infinity war
192	#servingforpeace	serving for peace
193	#worldmalariaday	world malaria day
194	#webby	
195	#nycjuniorambassadors	
196	#powerwithpurpose	power with purpose
197	#gfrid2017	
198	#southsudan	
199	#teachersday	teachers day
200	#lebanon	
201	#afghanistan	
202	#africa	
203	#bringbackourgirls	bring back our girls
204	#w20	w 20
205	#domesticviolence	domestic violence
206	#time100	time 100
207	#teacherappreciationday	teacher appreciation day
208	#moldova	
209	#nepal	
210	#unispace50	uni space 50
211	#girlsforachange	girls for a change
212	#savethebees	save the bees
213	#paygap	pay gap
214	#rohingya	
215	#biz4good	biz 4 good
216	#eu4dev	
217	#youth	
218	#cpd51	
219	#sweden4sdgs	
220	#internationalworkersday	international workers day
221	#comedyforequality	comedy for equality
222	#nepalquake2yr	
223	#worldrugbyu20s	world rugby u 20 s
224	#girls	
225	#hiv	
226	#yemen	
227	#wpfd2017	
228	#safeandfair	safe and fair
229	#lgbtqi	
230	#unff13	
231	#fridayreads	
232	#bigdata	big data
233	#nigeria	
234	#malawi	
235	#asean	
236	#yogaday	yoga day
237	#idahot2017	
238	#20kmbxl	
239	#dw_gmf	
240	#georgia	
241	#sport	
242	#climateaction	climate action
243	#sdg	
244	#worldipday	
245	#sy	
246	#herstory	her story
247	#fistula	
248	#thisgirlcan	this girl can
249	#icymi	icy mi
250	#okoye	
251	#cultureoflove	culture of love
252	#imad2018	i mad 2018
253	#jointogether	join together
254	#imfmeetings	
255	#ggwcup	
256	#tanzania	
257	#nepalquake	
258	#orangeday	orange day
259	#europeday	
260	#20percentcounts	20 percent counts
261	#throwback	
262	#dayoftheafricanchild	
263	#sawasouthsudan	
264	#skopje	
265	#education	
266	#2030agenda	2030 agenda
267	#maythe4thbewithyou	
268	#3yearstoolong	3 years too long
269	#g20	g 20
270	#disability	
271	#leavenowomanbehind	leave no woman behind
272	#health	
273	#maternalhealth	maternal health
274	#ge2017	
275	#refugeeday	refugee day
276	#feminist	
277	#april6	
278	#sdg4	
279	#elderabuse	elder abuse
280	#ilc2017	
281	#somalia	
282	#mineaction2017	mine action 2017
283	#safebirth	safe birth
284	#endobstetricfistula	
285	#feminism	
286	#celebratewomen	celebrate women
287	#agenda2063	agenda 2063
288	#endgbv	
289	#unpopulation	
290	#saudiarabia	
291	#albania	
292	#gendergap	gender gap
293	#vanuatu	
294	#genderpolicyinfluencers	gender policy influence rs
295	#spain	
296	#endpoverty	end poverty
297	#myanmar	
298	#childrenuprooted	children uprooted
299	#germany	
300	#womenpeacesecurity	women peace security
301	#oecdgfd	
302	#noesdehombres	
303	#saudi	
304	#globaldayofparents	global day of parents
305	#millenniumfellowship	millennium fellowship
306	#financialinclusion	financial inclusion
307	#tcjosie	
308	#ruleoflaw	rule of law
309	#worldbicycleday	world bicycle day
310	#carework	care work
311	#womeninstem	women in stem
312	#notghosts	not ghosts
313	#breaktheglass	break the glass
314	#generationsafeandhealthy	generation safe and healthy
315	#teacherappreciationweek	teacher appreciation week
316	#vaccineswork	vaccines work
317	#undrip	
318	#rwanda	
319	#solomonislands	
320	#sdg5dreamteam	
321	#evaw	
322	#brussels	
323	#iwd2018	
324	#worldautismday	world autism day
325	#sexism	
326	#sweden	
327	#earlymomentsmatter	early moments matter
328	#un	
329	#innovation	
330	#undataforum	
331	#woman	
332	#humanitarian	
333	#defendher	defend her
334	#mentalhealth	mental health
335	#chogm2018	
336	#violenceagainstwomen	violence against women
337	#mustwatch	must watch
338	#zimbabwe	
339	#fp50	
340	#energy	
341	#makegenderinequalityhistory	make gender inequality history
342	#bostonmarathon	
343	#tonga	
344	#safecities	safe cities
345	#sudan	
346	#kenya	
347	#unforests	
348	#wo	
349	#ge	
350	#womeninbiz	women in biz
351	#edd17	ed d 17
352	#foreverychild	for every child
353	#wcid	
354	#c	
355	#womenseconomicempowerment	
356	#csw61	
357	#onthisday	
358	#india	
359	#humantrafficking	human trafficking
360	#5wordspeech	5 word speech
361	#indonesia	
362	#africanwomenleadersnetwork	
363	#yalbinism	y albinism
364	#hijab	
365	#endviolenceagainstwomen	end violence against women
366	#thankateacher	thank a teacher
367	#chhaupadi	
368	#planet505	planet 505
369	#digitalpayments	digital payments
370	#crimjust	c rim just
371	#gpha	
372	#investi	invest i
373	#redistribute	
374	#by2030	by 2030
375	#unpfii1	
376	#nationalwineday	national wine day
377	#actonclimate	
378	#sd	
379	#domesticwork	domestic work
380	#g7taormina	
381	#merkel	
382	#timorleste	
383	#apparelmanufacturing	apparel manufacturing
384	#w	
385	#oursharedshelf	our shared shelf
386	#autismday2018	autism day 2018
387	#weareindige	
388	#poweringthefuture	powering the future
389	#dkaid	
390	#listenfirst	listen first
391	#southafrica	
392	#planet5	planet 5
393	#intersex	
394	#healthf	health f
395	#womentogether4africa	
396	#supersongoescannes	
397	#syriac	
398	#ilooklikeasurgeon	i look like a surgeon
399	#children	
